ts,pfcp_messages_duration_seconds_count__direction_Outgoing__message_type_Association Setup Request,pfcp_messages_duration_seconds_sum__direction_Outgoing__message_type_Association Setup Request,pfcp_messages_total__direction_Outgoing__message_type_Association Setup Request__result_Success
2026-06-10 08:34:36.976000071+00:00,0.0,0.0,0.0
2026-06-10 08:34:51.976000071+00:00,0.0,0.0,0.0
2026-06-10 08:35:06.976000071+00:00,0.0,0.0,0.0
2026-06-10 08:35:21.976000071+00:00,0.0,0.0,0.0
2026-06-10 08:35:36.976000071+00:00,0.0,0.0,0.0
2026-06-10 08:35:51.976000071+00:00,0.0,0.0,0.0
2026-06-10 08:36:06.976000071+00:00,0.0,0.0,0.0
2026-06-10 08:36:21.976000071+00:00,0.0,0.0,0.0
2026-06-10 08:36:36.976000071+00:00,0.0,0.0,0.0
2026-06-10 08:36:51.976000071+00:00,0.0,0.0,0.0
2026-06-10 08:37:06.976000071+00:00,0.0,0.0,0.0
2026-06-10 08:37:21.976000071+00:00,0.0,0.0,0.0
2026-06-10 08:37:36.976000071+00:00,0.0,0.0,0.0
2026-06-10 08:37:51.976000071+00:00,0.0,0.0,0.0
2026-06-10 08:38:06.976000071+00:00,0.0,0.0,0.0
2026-06-10 08:38:21.976000071+00:00,0.0,0.0,0.0
2026-06-10 08:38:36.976000071+00:00,0.0,0.0,0.0
2026-06-10 08:38:51.976000071+00:00,0.0,0.0,0.0
2026-06-10 08:39:06.976000071+00:00,0.0,0.0,0.0
2026-06-10 08:39:21.976000071+00:00,0.0,0.0,0.0
2026-06-10 08:39:36.976000071+00:00,0.0,0.0,0.0
2026-06-10 08:39:51.976000071+00:00,0.0,0.0,0.0
2026-06-10 08:40:06.976000071+00:00,0.0,0.0,0.0
2026-06-10 08:40:21.976000071+00:00,0.0,0.0,0.0
