ts                                 , pfcp_messages_duration_seconds_count__direction_Outgoing__message_type_Association Setup Request, pfcp_messages_duration_seconds_sum__direction_Outgoing__message_type_Association Setup Request, pfcp_messages_total__direction_Outgoing__message_type_Association Setup Request__result_Success, upf_jitter_ns__iface_Access__quantile_100.0, upf_jitter_ns__iface_Access__quantile_50.0, upf_jitter_ns__iface_Access__quantile_75.0, upf_jitter_ns__iface_Access__quantile_90.0, upf_jitter_ns__iface_Access__quantile_95.0, upf_jitter_ns__iface_Access__quantile_99.0, upf_jitter_ns__iface_Access__quantile_99.9, upf_jitter_ns__iface_Access__quantile_99.99, upf_jitter_ns__iface_Access__quantile_99.999, upf_jitter_ns__iface_Access__quantile_99.9999, upf_jitter_ns__iface_Core__quantile_100.0, upf_jitter_ns__iface_Core__quantile_50.0, upf_jitter_ns__iface_Core__quantile_75.0, upf_jitter_ns__iface_Core__quantile_90.0, upf_jitter_ns__iface_Core__quantile_95.0, upf_jitter_ns__iface_Core__quantile_99.0, upf_jitter_ns__iface_Core__quantile_99.9, upf_jitter_ns__iface_Core__quantile_99.99, upf_jitter_ns__iface_Core__quantile_99.999, upf_jitter_ns__iface_Core__quantile_99.9999, upf_jitter_ns_count__iface_Access, upf_jitter_ns_count__iface_Core, upf_jitter_ns_sum__iface_Access, upf_jitter_ns_sum__iface_Core, upf_latency_ns__iface_Access__quantile_100.0, upf_latency_ns__iface_Access__quantile_50.0, upf_latency_ns__iface_Access__quantile_75.0, upf_latency_ns__iface_Access__quantile_90.0, upf_latency_ns__iface_Access__quantile_95.0, upf_latency_ns__iface_Access__quantile_99.0, upf_latency_ns__iface_Access__quantile_99.9, upf_latency_ns__iface_Access__quantile_99.99, upf_latency_ns__iface_Access__quantile_99.999, upf_latency_ns__iface_Access__quantile_99.9999, upf_latency_ns__iface_Core__quantile_100.0, upf_latency_ns__iface_Core__quantile_50.0, upf_latency_ns__iface_Core__quantile_75.0, upf_latency_ns__iface_Core__quantile_90.0, upf_latency_ns__iface_Core__quantile_95.0, upf_latency_ns__iface_Core__quantile_99.0, upf_latency_ns__iface_Core__quantile_99.9, upf_latency_ns__iface_Core__quantile_99.99, upf_latency_ns__iface_Core__quantile_99.999, upf_latency_ns__iface_Core__quantile_99.9999, upf_latency_ns_count__iface_Access, upf_latency_ns_count__iface_Core, upf_latency_ns_sum__iface_Access, upf_latency_ns_sum__iface_Core
2026-06-10 07:49:52.242000103+00:00,                                                                                              0.0,                                                                                            0.0,                                                                                             0.0,                                         0.0,                                        0.0,                                        0.0,                                        0.0,                                        0.0,                                        0.0,                                        0.0,                                         0.0,                                          0.0,                                           0.0,                                       0.0,                                      0.0,                                      0.0,                                      0.0,                                      0.0,                                      0.0,                                      0.0,                                       0.0,                                        0.0,                                         0.0, 0.0                              , 0.0                            ,                             0.0,                           0.0,                                          0.0,                                         0.0,                                         0.0,                                         0.0,                                         0.0,                                         0.0,                                         0.0,                                          0.0,                                           0.0,                                            0.0,                                        0.0,                                       0.0,                                       0.0,                                       0.0,                                       0.0,                                       0.0,                                       0.0,                                        0.0,                                         0.0,                                          0.0, 0.0                               , 0.0                             ,                              0.0,                            0.0
2026-06-10 07:50:22.242000103+00:00,                                                                                              0.0,                                                                                            0.0,                                                                                             0.0,                                         0.0,                                        0.0,                                        0.0,                                        0.0,                                        0.0,                                        0.0,                                        0.0,                                         0.0,                                          0.0,                                           0.0,                                       0.0,                                      0.0,                                      0.0,                                      0.0,                                      0.0,                                      0.0,                                      0.0,                                       0.0,                                        0.0,                                         0.0, -72.0                            , 1978.0                         ,                             0.0,                           0.0,                                          0.0,                                         0.0,                                         0.0,                                         0.0,                                         0.0,                                         0.0,                                         0.0,                                          0.0,                                           0.0,                                            0.0,                                        0.0,                                       0.0,                                       0.0,                                       0.0,                                       0.0,                                       0.0,                                       0.0,                                        0.0,                                         0.0,                                          0.0, -72.0                             , 1978.0                          ,                              0.0,                            0.0
2026-06-10 07:50:52.242000103+00:00,                                                                                              0.0,                                                                                            0.0,                                                                                             0.0,                                         0.0,                                        0.0,                                        0.0,                                        0.0,                                        0.0,                                        0.0,                                        0.0,                                         0.0,                                          0.0,                                           0.0,                                       0.0,                                      0.0,                                      0.0,                                      0.0,                                      0.0,                                      0.0,                                      0.0,                                       0.0,                                        0.0,                                         0.0, 0.0                              , 0.0                            ,                             0.0,                           0.0,                                          0.0,                                         0.0,                                         0.0,                                         0.0,                                         0.0,                                         0.0,                                         0.0,                                          0.0,                                           0.0,                                            0.0,                                        0.0,                                       0.0,                                       0.0,                                       0.0,                                       0.0,                                       0.0,                                       0.0,                                        0.0,                                         0.0,                                          0.0, 0.0                               , 0.0                             ,                              0.0,                            0.0
2026-06-10 07:51:22.242000103+00:00,                                                                                              0.0,                                                                                            0.0,                                                                                             0.0,                                         0.0,                                        0.0,                                        0.0,                                        0.0,                                        0.0,                                        0.0,                                        0.0,                                         0.0,                                          0.0,                                           0.0,                                       0.0,                                      0.0,                                      0.0,                                      0.0,                                      0.0,                                      0.0,                                      0.0,                                       0.0,                                        0.0,                                         0.0, 8398.0                           , 9005.0                         ,                             0.0,                           0.0,                                          0.0,                                         0.0,                                         0.0,                                         0.0,                                         0.0,                                         0.0,                                         0.0,                                          0.0,                                           0.0,                                            0.0,                                        0.0,                                       0.0,                                       0.0,                                       0.0,                                       0.0,                                       0.0,                                       0.0,                                        0.0,                                         0.0,                                          0.0, 8398.0                            , 9005.0                          ,                              0.0,                            0.0
2026-06-10 07:51:52.242000103+00:00,                                                                                              0.0,                                                                                            0.0,                                                                                             0.0,                                         0.0,                                        0.0,                                        0.0,                                        0.0,                                        0.0,                                        0.0,                                        0.0,                                         0.0,                                          0.0,                                           0.0,                                       0.0,                                      0.0,                                      0.0,                                      0.0,                                      0.0,                                      0.0,                                      0.0,                                       0.0,                                        0.0,                                         0.0, 0.0                              , 0.0                            ,                             0.0,                           0.0,                                          0.0,                                         0.0,                                         0.0,                                         0.0,                                         0.0,                                         0.0,                                         0.0,                                          0.0,                                           0.0,                                            0.0,                                        0.0,                                       0.0,                                       0.0,                                       0.0,                                       0.0,                                       0.0,                                       0.0,                                        0.0,                                         0.0,                                          0.0, 0.0                               , 0.0                             ,                              0.0,                            0.0
2026-06-10 07:52:22.242000103+00:00,                                                                                              0.0,                                                                                            0.0,                                                                                             0.0,                                         0.0,                                        0.0,                                        0.0,                                        0.0,                                        0.0,                                        0.0,                                        0.0,                                         0.0,                                          0.0,                                           0.0,                                       0.0,                                      0.0,                                      0.0,                                      0.0,                                      0.0,                                      0.0,                                      0.0,                                       0.0,                                        0.0,                                         0.0, 697.0                            , -5562.0                        ,                             0.0,                           0.0,                                          0.0,                                         0.0,                                         0.0,                                         0.0,                                         0.0,                                         0.0,                                         0.0,                                          0.0,                                           0.0,                                            0.0,                                        0.0,                                       0.0,                                       0.0,                                       0.0,                                       0.0,                                       0.0,                                       0.0,                                        0.0,                                         0.0,                                          0.0, 697.0                             , -5562.0                         ,                              0.0,                            0.0
2026-06-10 07:52:52.242000103+00:00,                                                                                              0.0,                                                                                            0.0,                                                                                             0.0,                                         0.0,                                        0.0,                                        0.0,                                        0.0,                                        0.0,                                        0.0,                                        0.0,                                         0.0,                                          0.0,                                           0.0,                                       0.0,                                      0.0,                                      0.0,                                      0.0,                                      0.0,                                      0.0,                                      0.0,                                       0.0,                                        0.0,                                         0.0, 0.0                              , 0.0                            ,                             0.0,                           0.0,                                          0.0,                                         0.0,                                         0.0,                                         0.0,                                         0.0,                                         0.0,                                         0.0,                                          0.0,                                           0.0,                                            0.0,                                        0.0,                                       0.0,                                       0.0,                                       0.0,                                       0.0,                                       0.0,                                       0.0,                                        0.0,                                         0.0,                                          0.0, 0.0                               , 0.0                             ,                              0.0,                            0.0
2026-06-10 07:53:22.242000103+00:00,                                                                                              0.0,                                                                                            0.0,                                                                                             0.0,                                         0.0,                                        0.0,                                        0.0,                                        0.0,                                        0.0,                                        0.0,                                        0.0,                                         0.0,                                          0.0,                                           0.0,                                       0.0,                                      0.0,                                      0.0,                                      0.0,                                      0.0,                                      0.0,                                      0.0,                                       0.0,                                        0.0,                                         0.0, -3519.0                          , 5887.0                         ,                             0.0,                           0.0,                                          0.0,                                         0.0,                                         0.0,                                         0.0,                                         0.0,                                         0.0,                                         0.0,                                          0.0,                                           0.0,                                            0.0,                                        0.0,                                       0.0,                                       0.0,                                       0.0,                                       0.0,                                       0.0,                                       0.0,                                        0.0,                                         0.0,                                          0.0, -3519.0                           , 5887.0                          ,                              0.0,                            0.0
2026-06-10 07:53:52.242000103+00:00,                                                                                              0.0,                                                                                            0.0,                                                                                             0.0,                                         0.0,                                        0.0,                                        0.0,                                        0.0,                                        0.0,                                        0.0,                                        0.0,                                         0.0,                                          0.0,                                           0.0,                                       0.0,                                      0.0,                                      0.0,                                      0.0,                                      0.0,                                      0.0,                                      0.0,                                       0.0,                                        0.0,                                         0.0, 0.0                              , 0.0                            ,                             0.0,                           0.0,                                          0.0,                                         0.0,                                         0.0,                                         0.0,                                         0.0,                                         0.0,                                         0.0,                                          0.0,                                           0.0,                                            0.0,                                        0.0,                                       0.0,                                       0.0,                                       0.0,                                       0.0,                                       0.0,                                       0.0,                                        0.0,                                         0.0,                                          0.0, 0.0                               , 0.0                             ,                              0.0,                            0.0
2026-06-10 07:54:22.242000103+00:00,                                                                                              0.0,                                                                                            0.0,                                                                                             0.0,                                         0.0,                                        0.0,                                        0.0,                                        0.0,                                        0.0,                                        0.0,                                        0.0,                                         0.0,                                          0.0,                                           0.0,                                       0.0,                                      0.0,                                      0.0,                                      0.0,                                      0.0,                                      0.0,                                      0.0,                                       0.0,                                        0.0,                                         0.0, -5625.0                          , -42368.0                       ,                             0.0,                           0.0,                                          0.0,                                         0.0,                                         0.0,                                         0.0,                                         0.0,                                         0.0,                                         0.0,                                          0.0,                                           0.0,                                            0.0,                                        0.0,                                       0.0,                                       0.0,                                       0.0,                                       0.0,                                       0.0,                                       0.0,                                        0.0,                                         0.0,                                          0.0, -5625.0                           , -42368.0                        ,                              0.0,                            0.0
