ts,pfcp_messages_duration_seconds_count__direction_Outgoing__message_type_Association Setup Request,pfcp_messages_duration_seconds_sum__direction_Outgoing__message_type_Association Setup Request,pfcp_messages_total__direction_Outgoing__message_type_Association Setup Request__result_Success
2026-06-10 08:32:09.592000008+00:00,0.0,0.0,0.0
2026-06-10 08:32:24.592000008+00:00,0.0,0.0,0.0
2026-06-10 08:32:39.592000008+00:00,0.0,0.0,0.0
2026-06-10 08:32:54.592000008+00:00,0.0,0.0,0.0
2026-06-10 08:33:09.592000008+00:00,0.0,0.0,0.0
2026-06-10 08:33:24.592000008+00:00,0.0,0.0,0.0
2026-06-10 08:33:39.592000008+00:00,0.0,0.0,0.0
2026-06-10 08:33:54.592000008+00:00,0.0,0.0,0.0
2026-06-10 08:34:09.592000008+00:00,0.0,0.0,0.0
2026-06-10 08:34:24.592000008+00:00,0.0,0.0,0.0
2026-06-10 08:34:39.592000008+00:00,0.0,0.0,0.0
2026-06-10 08:34:54.592000008+00:00,0.0,0.0,0.0
2026-06-10 08:35:09.592000008+00:00,0.0,0.0,0.0
2026-06-10 08:35:24.592000008+00:00,0.0,0.0,0.0
2026-06-10 08:35:39.592000008+00:00,0.0,0.0,0.0
2026-06-10 08:35:54.592000008+00:00,0.0,0.0,0.0
2026-06-10 08:36:09.592000008+00:00,0.0,0.0,0.0
2026-06-10 08:36:24.592000008+00:00,0.0,0.0,0.0
2026-06-10 08:36:39.592000008+00:00,0.0,0.0,0.0
2026-06-10 08:36:54.592000008+00:00,0.0,0.0,0.0
2026-06-10 08:37:09.592000008+00:00,0.0,0.0,0.0
2026-06-10 08:37:24.592000008+00:00,0.0,0.0,0.0
2026-06-10 08:37:39.592000008+00:00,0.0,0.0,0.0
2026-06-10 08:37:54.592000008+00:00,0.0,0.0,0.0
