ts,pfcp_messages_duration_seconds_count__direction_Outgoing__message_type_Association Setup Request,pfcp_messages_duration_seconds_sum__direction_Outgoing__message_type_Association Setup Request,pfcp_messages_total__direction_Outgoing__message_type_Association Setup Request__result_Success
2026-06-10 08:33:59.641000032+00:00,0.0,0.0,0.0
2026-06-10 08:34:14.641000032+00:00,0.0,0.0,0.0
2026-06-10 08:34:29.641000032+00:00,0.0,0.0,0.0
2026-06-10 08:34:44.641000032+00:00,0.0,0.0,0.0
2026-06-10 08:34:59.641000032+00:00,0.0,0.0,0.0
2026-06-10 08:35:14.641000032+00:00,0.0,0.0,0.0
2026-06-10 08:35:29.641000032+00:00,0.0,0.0,0.0
2026-06-10 08:35:44.641000032+00:00,0.0,0.0,0.0
2026-06-10 08:35:59.641000032+00:00,0.0,0.0,0.0
2026-06-10 08:36:14.641000032+00:00,0.0,0.0,0.0
2026-06-10 08:36:29.641000032+00:00,0.0,0.0,0.0
2026-06-10 08:36:44.641000032+00:00,0.0,0.0,0.0
2026-06-10 08:36:59.641000032+00:00,0.0,0.0,0.0
2026-06-10 08:37:14.641000032+00:00,0.0,0.0,0.0
2026-06-10 08:37:29.641000032+00:00,0.0,0.0,0.0
2026-06-10 08:37:44.641000032+00:00,0.0,0.0,0.0
2026-06-10 08:37:59.641000032+00:00,0.0,0.0,0.0
2026-06-10 08:38:14.641000032+00:00,0.0,0.0,0.0
2026-06-10 08:38:29.641000032+00:00,0.0,0.0,0.0
2026-06-10 08:38:44.641000032+00:00,0.0,0.0,0.0
2026-06-10 08:38:59.641000032+00:00,0.0,0.0,0.0
2026-06-10 08:39:14.641000032+00:00,0.0,0.0,0.0
2026-06-10 08:39:29.641000032+00:00,0.0,0.0,0.0
2026-06-10 08:39:44.641000032+00:00,0.0,0.0,0.0
