ts,pfcp_messages_total__direction_Outgoing__message_type_Association Setup Request__result_Success,upf_jitter_ns__iface_Access__quantile_100.0,upf_jitter_ns__iface_Access__quantile_50.0,upf_jitter_ns__iface_Access__quantile_75.0,upf_jitter_ns__iface_Access__quantile_90.0,upf_jitter_ns__iface_Access__quantile_95.0,upf_jitter_ns__iface_Access__quantile_99.0,upf_jitter_ns__iface_Access__quantile_99.9,upf_jitter_ns__iface_Access__quantile_99.99,upf_jitter_ns__iface_Access__quantile_99.999,upf_jitter_ns__iface_Access__quantile_99.9999,upf_jitter_ns__iface_Core__quantile_100.0,upf_jitter_ns__iface_Core__quantile_50.0,upf_jitter_ns__iface_Core__quantile_75.0,upf_jitter_ns__iface_Core__quantile_90.0,upf_jitter_ns__iface_Core__quantile_95.0,upf_jitter_ns__iface_Core__quantile_99.0,upf_jitter_ns__iface_Core__quantile_99.9,upf_jitter_ns__iface_Core__quantile_99.99,upf_jitter_ns__iface_Core__quantile_99.999,upf_jitter_ns__iface_Core__quantile_99.9999,upf_latency_ns__iface_Access__quantile_100.0,upf_latency_ns__iface_Access__quantile_50.0,upf_latency_ns__iface_Access__quantile_75.0,upf_latency_ns__iface_Access__quantile_90.0,upf_latency_ns__iface_Access__quantile_95.0,upf_latency_ns__iface_Access__quantile_99.0,upf_latency_ns__iface_Access__quantile_99.9,upf_latency_ns__iface_Access__quantile_99.99,upf_latency_ns__iface_Access__quantile_99.999,upf_latency_ns__iface_Access__quantile_99.9999,upf_latency_ns__iface_Core__quantile_100.0,upf_latency_ns__iface_Core__quantile_50.0,upf_latency_ns__iface_Core__quantile_75.0,upf_latency_ns__iface_Core__quantile_90.0,upf_latency_ns__iface_Core__quantile_95.0,upf_latency_ns__iface_Core__quantile_99.0,upf_latency_ns__iface_Core__quantile_99.9,upf_latency_ns__iface_Core__quantile_99.99,upf_latency_ns__iface_Core__quantile_99.999,upf_latency_ns__iface_Core__quantile_99.9999
2026-06-10 07:38:31.236999989+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-10 07:39:01.236999989+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-10 07:39:31.236999989+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-10 07:40:01.236999989+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-10 07:40:31.236999989+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-10 07:41:01.236999989+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-10 07:41:31.236999989+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-10 07:42:01.236999989+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-10 07:42:31.236999989+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-10 07:43:01.236999989+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-10 07:43:31.236999989+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-10 07:44:01.236999989+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
